# Contiguous U.S. January-December Precipitation
# Units: Inches
# Base Period: 1901-2000
Date,Value,Departure from Average,Percent of Average
189512,27.53,-2.39,92
189612,29.77,-0.15,99.5
189712,29.68,-0.24,99.2
189812,29.56,-0.36,98.8
189912,28.69,-1.23,95.9
190012,30.63,0.71,102.4
190112,27.63,-2.29,92.3
190212,30.63,0.71,102.4
190312,29.36,-0.56,98.1
190412,27.94,-1.98,93.4
190512,32.59,2.67,108.9
190612,32.82,2.9,109.7
190712,30.92,1,103.3
190812,29.78,-0.14,99.5
190912,31.16,1.24,104.1
191012,24.9,-5.02,83.2
191112,29.52,-0.4,98.7
191212,30.47,0.55,101.8
191312,29.83,-0.09,99.7
191412,28.8,-1.12,96.3
191512,32.75,2.83,109.5
191612,29.39,-0.53,98.2
191712,25.34,-4.58,84.7
191812,28.75,-1.17,96.1
191912,31.73,1.81,106
192012,31.28,1.36,104.5
192112,28.76,-1.16,96.1
192212,29.86,-0.06,99.8
192312,31.67,1.75,105.8
192412,26.52,-3.4,88.6
192512,26.96,-2.96,90.1
192612,30.91,0.99,103.3
192712,32.03,2.11,107.1
192812,29.47,-0.45,98.5
192912,30.14,0.22,100.7
193012,25.56,-4.36,85.4
193112,27.52,-2.4,92
193212,30.43,0.51,101.7
193312,27.49,-2.43,91.9
193412,25.77,-4.15,86.1
193512,29.47,-0.45,98.5
193612,27.27,-2.65,91.1
193712,30.5,0.58,101.9
193812,29.72,-0.2,99.3
193912,26.27,-3.65,87.8
194012,30.41,0.49,101.6
194112,32.78,2.86,109.6
194212,31.31,1.39,104.6
194312,26.8,-3.12,89.6
194412,30.62,0.7,102.3
194512,33.02,3.1,110.4
194612,31.06,1.14,103.8
194712,29.35,-0.57,98.1
194812,30.67,0.75,102.5
194912,30.29,0.37,101.2
195012,30.87,0.95,103.2
195112,31.23,1.31,104.4
195212,26.34,-3.58,88
195312,28.28,-1.64,94.5
195412,26.15,-3.77,87.4
195512,27.73,-2.19,92.7
195612,25.37,-4.55,84.8
195712,33.83,3.91,113.1
195812,30.22,0.3,101
195912,30.58,0.66,102.2
196012,28.74,-1.18,96.1
196112,31.25,1.33,104.4
196212,28.58,-1.34,95.5
196312,25.65,-4.27,85.7
196412,30.23,0.31,101
196512,29.79,-0.13,99.6
196612,27.43,-2.49,91.7
196712,29.58,-0.34,98.9
196812,30.38,0.46,101.5
196912,30.6,0.68,102.3
197012,29.68,-0.24,99.2
197112,30.32,0.4,101.3
197212,31.69,1.77,105.9
197312,34.94,5.02,116.8
197412,30.61,0.69,102.3
197512,33.01,3.09,110.3
197612,26.3,-3.62,87.9
197712,30.42,0.5,101.7
197812,30.09,0.17,100.6
197912,32.74,2.82,109.4
198012,28.25,-1.67,94.4
198112,29.94,0.02,100.1
198212,33.84,3.92,113.1
198312,34.72,4.8,116
198412,31.4,1.48,104.9
198512,29.95,0.03,100.1
198612,31.37,1.45,104.8
198712,29,-0.92,96.9
198812,25.9,-4.02,86.6
198912,29.04,-0.88,97.1
199012,32.16,2.24,107.5
199112,32.44,2.52,108.4
199212,31.25,1.33,104.4
199312,32.6,2.68,109
199412,30.62,0.7,102.3
199512,32.67,2.75,109.2
199612,33.67,3.75,112.5
199712,31.82,1.9,106.4
199812,33.85,3.93,113.1
199912,28.46,-1.46,95.1
200012,28.22,-1.7,94.3
200112,29.02,-0.9,97
200212,29.05,-0.87,97.1
200312,30.49,0.57,101.9
200412,33.23,3.31,111.1
200512,30.08,0.16,100.5
200612,29.82,-0.1,99.7
200712,29.16,-0.76,97.5
200812,31.24,1.32,104.4
200912,32.29,2.37,107.9
201012,31.36,1.44,104.8
201112,30.09,0.17,100.6
201212,27.52,-2.4,92
201312,31.04,1.12,103.7
201412,30.81,0.89,103
201512,34.58,4.66,115.6
201612,31.41,1.49,105
201712,32.29,2.37,107.9
201812,34.62,4.7,115.7
201912,34.82,4.9,116.4
202012,30.38,0.46,101.5
202112,30.41,0.49,101.6
202212,28.45,-1.47,95.1
202312,29.53,-0.39,98.7
202412,31.64,1.72,105.7
202512,29.25,-0.67,97.8
