year,CONUS,Northwest,N. Rockies & Plains,Upper Midwest,West,Southwest,Ohio Valley,South,Southeast,Northeast
1890,13.37,9.99,16.42,16.68,8.6,13.58,22.93,9.81,8.05,13.29
1891,8.93,13.37,3.14,12.2,12.86,15.56,8.38,4.12,8.14,9.07
1892,13.85,8.24,13.78,13.19,13.79,25.59,13.93,8.25,7.98,20.41
1893,14.12,8.07,18.74,20.35,7.85,11.11,17.93,11.4,14.15,20.45
1894,18.0,12.12,23.49,39.83,7.24,9.69,32.23,10.57,11.09,26.77
1895,11.82,9.17,10.85,18.47,10.71,7.81,23.59,2.86,11.71,27.78
1896,20.72,17.5,13.77,19.1,14.53,16.76,21.42,28.94,28.78,25.89
1897,18.58,17.21,14.61,21.71,12.71,6.94,32.42,22.24,26.13,15.39
1898,16.0,19.5,16.3,19.04,20.68,19.28,17.94,3.74,16.57,25.66
1899,17.48,10.15,10.66,14.73,11.73,13.92,29.27,19.86,27.47,22.39
1900,19.59,12.81,20.31,22.87,15.93,24.25,27.06,5.67,28.32,33.65
1901,25.48,15.95,22.81,32.22,15.24,26.46,42.09,27.91,15.9,25.45
1902,15.87,11.81,5.97,6.46,17.03,18.76,18.25,19.07,34.05,9.0
1903,9.42,8.19,5.67,4.98,11.37,14.19,14.33,3.79,16.06,10.72
1904,6.05,17.69,5.3,3.54,12.61,2.44,4.94,0.81,8.68,8.98
1905,9.36,14.87,6.47,8.59,16.33,12.29,8.36,3.99,8.43,13.05
1906,10.64,21.62,10.54,17.31,16.98,4.89,10.93,3.57,7.6,18.22
1907,8.29,5.33,4.09,4.54,2.22,6.49,12.27,12.22,15.63,11.36
1908,12.3,21.18,10.64,17.69,14.59,2.96,20.01,3.38,16.03,25.45
1909,12.13,8.39,10.65,15.65,8.68,9.47,13.48,17.31,6.87,17.88
1910,18.18,17.77,22.38,31.5,18.5,19.52,11.58,19.24,3.51,17.57
1911,19.39,12.03,11.32,24.96,6.58,10.42,32.72,28.16,22.05,28.97
