station,year,n_warm_hours,h0_b0,h0_b1,h0_b2,h0_b3,h0_b4,h0_b5,h0_b6,h0_b7,h0_b8,h0_b9,h0_b10,h1_b0,h1_b1,h1_b2,h1_b3,h1_b4,h1_b5,h1_b6,h1_b7,h1_b8,h1_b9,h1_b10,h2_b0,h2_b1,h2_b2,h2_b3,h2_b4,h2_b5,h2_b6,h2_b7,h2_b8,h2_b9,h2_b10,h3_b0,h3_b1,h3_b2,h3_b3,h3_b4,h3_b5,h3_b6,h3_b7,h3_b8,h3_b9,h3_b10,h4_b0,h4_b1,h4_b2,h4_b3,h4_b4,h4_b5,h4_b6,h4_b7,h4_b8,h4_b9,h4_b10,h5_b0,h5_b1,h5_b2,h5_b3,h5_b4,h5_b5,h5_b6,h5_b7,h5_b8,h5_b9,h5_b10,h6_b0,h6_b1,h6_b2,h6_b3,h6_b4,h6_b5,h6_b6,h6_b7,h6_b8,h6_b9,h6_b10,h7_b0,h7_b1,h7_b2,h7_b3,h7_b4,h7_b5,h7_b6,h7_b7,h7_b8,h7_b9,h7_b10,h8_b0,h8_b1,h8_b2,h8_b3,h8_b4,h8_b5,h8_b6,h8_b7,h8_b8,h8_b9,h8_b10,h9_b0,h9_b1,h9_b2,h9_b3,h9_b4,h9_b5,h9_b6,h9_b7,h9_b8,h9_b9,h9_b10,h10_b0,h10_b1,h10_b2,h10_b3,h10_b4,h10_b5,h10_b6,h10_b7,h10_b8,h10_b9,h10_b10,h11_b0,h11_b1,h11_b2,h11_b3,h11_b4,h11_b5,h11_b6,h11_b7,h11_b8,h11_b9,h11_b10,h12_b0,h12_b1,h12_b2,h12_b3,h12_b4,h12_b5,h12_b6,h12_b7,h12_b8,h12_b9,h12_b10,h13_b0,h13_b1,h13_b2,h13_b3,h13_b4,h13_b5,h13_b6,h13_b7,h13_b8,h13_b9,h13_b10,h14_b0,h14_b1,h14_b2,h14_b3,h14_b4,h14_b5,h14_b6,h14_b7,h14_b8,h14_b9,h14_b10,h15_b0,h15_b1,h15_b2,h15_b3,h15_b4,h15_b5,h15_b6,h15_b7,h15_b8,h15_b9,h15_b10,h16_b0,h16_b1,h16_b2,h16_b3,h16_b4,h16_b5,h16_b6,h16_b7,h16_b8,h16_b9,h16_b10,h17_b0,h17_b1,h17_b2,h17_b3,h17_b4,h17_b5,h17_b6,h17_b7,h17_b8,h17_b9,h17_b10,h18_b0,h18_b1,h18_b2,h18_b3,h18_b4,h18_b5,h18_b6,h18_b7,h18_b8,h18_b9,h18_b10,h19_b0,h19_b1,h19_b2,h19_b3,h19_b4,h19_b5,h19_b6,h19_b7,h19_b8,h19_b9,h19_b10,h20_b0,h20_b1,h20_b2,h20_b3,h20_b4,h20_b5,h20_b6,h20_b7,h20_b8,h20_b9,h20_b10,h21_b0,h21_b1,h21_b2,h21_b3,h21_b4,h21_b5,h21_b6,h21_b7,h21_b8,h21_b9,h21_b10,h22_b0,h22_b1,h22_b2,h22_b3,h22_b4,h22_b5,h22_b6,h22_b7,h22_b8,h22_b9,h22_b10,h23_b0,h23_b1,h23_b2,h23_b3,h23_b4,h23_b5,h23_b6,h23_b7,h23_b8,h23_b9,h23_b10
AL_Gadsden_19_N,2005,4796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL_Selma_13_WNW,2005,3797,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
AZ_Elgin_5_S,2005,5134,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,33,33,33,33,33,30,30,28,27,25,24,34,33,33,33,32,30,30,28,27,26,25,35,34,34,34,34,31,31,28,27,25,24,36,36,36,36,35,32,31,30,28,27,25,36,36,35,35,35,33,33,30,28,25,24,34,34,33,33,33,31,31,28,27,25,24,33,33,33,33,33,31,31,28,27,25,24,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23,32,32,32,32,32,30,30,27,26,24,23
AZ_Tucson_11_W,2005,5136,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,89,89,89,88,85,85,85,83,83,79,78,93,92,92,89,86,86,85,83,82,81,80,97,96,96,94,89,88,86,83,83,81,80,99,99,98,97,91,91,91,87,86,84,82,94,94,94,92,90,90,90,88,86,84,83,92,92,92,92,90,89,88,85,83,80,79,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76,88,88,88,87,84,84,84,82,80,77,76
CA_Merced_23_WSW,2005,5048,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,50,50,50,48,44,44,42,42,40,40,40,54,53,53,51,49,48,46,46,44,44,44,59,59,57,54,52,52,48,48,46,45,44,56,54,53,52,50,50,47,47,44,43,42,52,52,50,50,48,48,45,45,43,42,42,51,51,51,49,45,44,42,42,40,40,40,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39,49,49,49,47,43,43,41,41,39,39,39
CA_Redding_12_WNW,2005,5129,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,46,44,43,40,39,39,38,38,36,35,35,48,46,44,42,41,41,40,39,37,36,36,49,46,45,44,43,43,42,42,39,36,36,48,48,46,45,44,43,43,43,40,39,38,48,47,46,44,43,41,40,40,39,37,36,46,44,43,40,39,39,38,37,36,35,35,45,43,42,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33,44,42,41,38,37,37,36,36,34,33,33
CA_Stovepipe_Wells_1_SW,2005,4898,131,130,129,128,127,127,127,125,123,123,120,131,130,129,128,127,127,127,125,123,123,120,131,130,129,128,127,127,127,125,123,123,120,131,130,129,128,127,127,127,125,123,123,120,131,130,129,128,127,127,127,125,123,123,120,131,130,129,128,127,127,127,125,123,123,120,131,130,129,128,127,127,127,125,123,123,120,131,130,129,128,127,127,127,125,123,123,120,131,130,129,128,127,127,127,125,123,123,120,131,130,129,128,127,127,127,125,123,123,120,131,130,129,128,127,127,127,125,123,123,120,131,130,129,128,127,127,127,125,123,123,120,131,130,129,128,127,127,127,126,124,124,121,133,132,131,131,130,128,128,127,125,125,122,134,133,131,131,130,130,130,128,127,126,123,138,137,135,134,132,131,131,129,128,127,126,137,136,135,135,134,133,131,128,126,125,124,135,134,132,132,130,130,129,127,125,125,125,132,131,130,130,129,129,129,127,125,125,124,132,131,130,129,128,128,128,126,124,124,122,132,131,130,129,128,127,127,125,123,123,121,132,131,130,129,128,127,127,125,123,123,121,132,131,130,129,128,127,127,125,123,123,120,132,131,130,129,128,127,127,125,123,123,120
CO_Boulder_14_W,2005,5122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO_Cortez_8_SE,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO_Dinosaur_2_E,2005,5130,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,18,17,14,14,12,11,11,10,10,10,10,18,18,14,14,13,12,12,11,11,11,10,17,16,14,14,14,13,13,13,13,12,10,16,15,13,13,13,12,11,11,11,11,11,16,15,12,12,12,11,11,11,11,11,11,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10,15,14,11,11,11,10,10,10,10,10,10
